CARGOS,LIQUIDACION
Gerente de Sistemas de Grandes Empresas,1071.907
Director D.E.M.E.S.,266.983
Director D.N.I.P.y P,266.983
Asesor Técnico,200.906
Director D.A.E.I.,266.983
Director D.E.A,266.983
Director D.E.F.,266.983
Subdirector D.I.I.E.,263.831
Subdirector D.E.M.E.S.,263.831
Subdirector Perfecc.Educativo,263.831
Subdirector D.N.I.P.y P.,263.831
Subdirector D.I.P.E.,263.831
Inspector Gral. D.N.I.P. y P.,229.125
Subdirector D.A.E.I.,263.831
Subdirector D.E.F.,263.831
Inspector Gral.D.E.M.E.S.,229.125
Inspector Gral. D.I.P.E.,229.125
Inspector Gral. D.E.F.,229.125
Subinspector Gral. D.E.F.,198.097
Subinspector Gral. D.N.I.P. y P.,225.920
Inspector Gral.InstitutodelMenor,245.058
Inspector D.E.M.E.S.,221.914
Inspector de Jovenes y Adultos,221.914
Inspector D.E.F.,221.914
Inspector Educación Complem.,221.914
Inspector Instituto del Menor,237.126
Jefe Departamento Nutrición,194.090
Inspector D.N.I.P.y P.,221.914
Supervisor Enseñanza Religiosa,221.914
Jefe Departamento Planeamiento,144.184
Analista Mayor Planeamiento,139.735
Analista Principal Planeamiento,138.575
Presidente Junta Clas. Primaria,221.914
Vocal Junta Clas. Primaria,145.158
Miembro Vocal de Junta D.E.M.E.S.,174.386
Director de 1ª Enseñanza Superior,155.816
Director de 2ª Enseñanza Superior,147.389
Vicedirector de Enseñ. Superior,147.389
Regente de Enseñ. Superior,137.663
Director de 1ª Ens. Media J.Comp,182.697
Director de 2ª Ens. Media J.Comp,172.639
Director de 3ª Ens. Media J.Comp,175.513
Director de 1ª Ens. Media,149.434
Director de 1ª Ens. Especial,151.165
Director de 2ª Ens. Media,145.455
Director de 2ª Ens. Especial,147.186
Director de 3ª Ens. Media,137.166
Director de 3ª Ens. Especial,138.897
Vicedirector Ens. Media J. Compl.,165.349
Vicedirector de 1ª  Ens. Media,139.791
Vicedirector de 1ª  Ens. Especial,141.522
Vicedirector de 2ª  Ens. Media,132.607
Vicedirector de 2ª  Ens. Especial,134.338
Vicedirector de 3ª  Ens. Media,128.407
Vicedirector de 3ª  Ens. Especial,130.139
Asesor Pedagógico Proyecto 13,144.709
Regente de 1ª Ens. Media,134.403
Regente de 1ª Ens. Media J. Com.,160.376
Regente de 1ª Ens. Primaria,134.403
Regente de 2ª Ens. Media J. Com.,146.172
Regente Educación Artística,134.403
Regente de 3ª Ens. Media J. Com.,143.962
Director de Coro,108.652
Director de Coro Jornada Reducida,108.652
Director de Orquesta de Ctro.Educ,92.305
Jefe Gabinete Psicopedagógico,129.790
Regente de 2ª Ens. Media,131.916
Regente de 3ª Ens. Media,123.572
Regente de 2ª Ens. Primaria,131.916
Subregente de 1ª Ens. Media,117.934
Subregente de 1ª Ens. Primaria,126.335
Jefe Departamento Didáctico,121.662
Coordinador Curso Ens. Superior,118.831
Coordinador Curso Ens. Media,113.193
Director Cantina Base,131.061
Director de 1ª Ens. Primaria,135.883
Director de 1ª Ens. Primaria (Jardin Inf),136.233
Director de 2ª Ens. Primaria,123.462
Director de 2ª Ens. Primaria (Jardin Inf),123.812
Director de 3ª Ens. Primaria,116.555
Director de 3ª Ens. Primaria (Jardin Inf),116.905
Vicedirector Ens. Primaria,123.462
Regente Ctro. Educ. Complemen.,131.916
Dir. 1ª Ctro. Dep. Educ. Física,133.763
Dir. 2ª Ctro. Dep. Educ. Física,134.772
Dir. 3ª Ctro. Dep. Educ. Física,117.835
Coordinador Reg. Educ. Física,122.463
Vicedirec. de 1ª Ctro.Dep.Ed.F.,134.703
Vicedirec. de 2ª Ctro.Dep.Ed.F.,114.628
Vicedirec. de 3ª Ctro.Dep.Ed.F.,95.591
Secretario (Enseñanza Superior),118.270
Prosecr. Docente Ens. Superior,100.919
Secretario Doc. de 1ª Ens. Media,118.270
Secretario Doc. de 2ª Ens. Media,115.425
Secretario Doc. de 3ª Ens. Media,107.246
Prosecr. Doc. de 1ª Ens. Media,100.919
Prosecr. Doc. de 2ª Ens. Media,90.889
Prosecr. Doc. de 3ª Ens. Media,89.894
Secretario Docente Ens. Especial,122.932
Prosecr. Docente Ens. Especial,112.681
Secr. Doc. de 1ª Ens. Primaria,130.623
Secr. Doc. de 2ª Ens. Primaria,127.777
Secr. Doc. de 3ª Ens. Primaria,118.824
Secr. Doc. de 4ª Ens. Primaria,111.917
Secr. Doc. de 5ª Ens. Primaria,101.887
Jefe de Internado,130.559
Jefe Enseñanza Practica de 1ª,129.790
Jefe Enseñanza Practica de 2ª,127.303
Jefe Enseñanza Practica de 3ª,110.918
Instructor Jor. Compl. Agr.,145.967
Jefe Sección Jorn. Completa,158.525
Instructor Enfermería,105.376
Encar.Secc.Gab.Psicop.(Med. y Sup.),111.760
Encar.Secc.Gab.Psicop.(Especial),113.491
Jefe de Gabinete Psicoped. (Primar.),125.609
Ayudante de Gab. Psic. Ens. M y Sup,101.284
Ayudante de Gab. Psic. Ens. Esp.,103.016
Ayudante de Gab. Psic. Ens. Prim.,92.749
Maestro de Grupo Escolar,101.703
Maestro de Grado Ens. Especial,103.569
Reeducador Especial,92.850
Encargado de Taller,99.109
Jefe de Trabajos Prácticos,106.465
Jefe de Laboratorio,106.465
Jefe de Gabinete Contabilidad,93.436
Jefe de Dpto. Educ. Física,88.174
Prof. Ctro. Depor. Educ. Física,93.302
Jefe de Ens. Pract. Ens. Especial,127.676
Jefe de Sección Ens. Practica,104.466
Maestra de Grado Ens. Primaria,101.837
Maestro de D. E. A.,101.837
Maestro de Jardín de Infantes,101.837
Maestro Ens. Practica Ens. Esp.,103.569
Maestro Enseñanza Practica,101.837
Maestro de Grado Artístico,93.302
Maestro de Grado Artístico Jorn. Red.,93.302
Maestro de Grado de Adultos,95.814
Maestro Cultura General,101.703
Bibliotecario Jefe,101.837
Bibliotecario,94.817
Ayudante Técnico,91.557
Jefe de Preceptores J. Completa,129.588
Jefe de Preceptores,106.465
Subjefe de Preceptores de 1ª,100.069
Maestro Cultura Rural Dom,90.704
Maestro Materia Especial,92.220
Maestro Mat. Esp. - Ex. Cons. Menor,112.421
Maestro Esp Artística,87.637
Preceptor,94.817
Preceptor Escuela de Mod Especial,96.549
Director de 1ª Inst. del Menor,187.512
Director de 2ª Inst. del Menor,178.507
Director de 3ª Inst. del Menor,169.389
Vicedir de 1ª Instit. del Menor,163.876
Vicedir de 2ª Instit. del Menor,155.974
Vicedir de 3ª Instit. del Menor,151.354
Regente de Instituto del Menor,157.949
Secr. Doc. de 1ª Inst. Menor,172.752
Secr. Doc. de 2ª Inst. Menor,168.375
Maestro de Inst. de Menores,134.237
Dir. de 1ª Jornada Completa,183.858
Dir. de 2ª Jornada Completa,171.645
Dir. de 3ª Jornada Completa,161.256
Vicedirector Jornada Completa,171.645
Maestro Grado Jorn. Completa,143.693
Maestro Ram. Esp. Jor. Compl.,120.290
Director Escuela Hogar,172.419
Director 2ª Anexo Albergue,171.645
Director 3ª Anexo Albergue,161.256
Maestro Anexo Albergue,143.693
Maestro Ram. Esp. An. Alber.,119.708
Vicedir. Esc. Hogar Te.,157.333
Secretario Téc. Esc. Hogar,140.316
Jefe Serv. Soc. Esc. Hogar,136.839
Visitador Higiene Social,128.222
Maestro Grado Esc. Hogar,143.693
AdministrativoA,95.480
AdministrativoB,95.891
AdministrativoC,96.301
AdministrativoD,97.533
AdministrativoE,98.560
AdministrativoF,100.065
CajeroA,95.822
CajeroB,96.301
CajeroC,96.917
Personal AuxiliarA,95.822
Personal AuxiliarB,96.507
Personal AuxiliarC,98.765
Auxiliar EspecializadoA,96.644
Auxiliar EspecializadoB,97.875
VendedorA,95.822
VendedorB,97.876
VendedorC,98.560
VendedorD,100.065
Administrador de Bases de datos Junior,244.384
Administrador de Bases de datos Senior,360.030
Administrador de ISP,325.663
Administrador de Redes /Telecomunicaciones Junior,226.928
Administrador de Redes /Telecomunicaciones Senior,325.663
Administrador de Seguridad Informática Junior,229.655
Administrador de Seguridad Informática Senior,311.480
Administrador de Servicio Centrales Junior,226.928
Administrador de Servicio Centrales Senior,325.663
Administrador Profesional de Proyectos Junior,244.384
Administrador Profesional de Proyectos Senior,360.030
Analista de Calidad Junior,175.651
Analista de Calidad Senior,250.384
Analista de Negocios,251.475
Analista de Producción Junior,193.652
Analista de Producción Senior,304.934
Analista de Testing Junior,175.651
Analista de Testing Senior,250.384
Analista de Usabilidad/UX,277.659
Analista Funcional Junior,176.742
Analista Funcional Senior,251.475
Analista Junior,226.928
Analista Programador Junior,226.928
Analista Programador Senior,363.303
Analista Senior,363.303
Arquitecto de Software,409.670
Arquitectura de Datos,409.670
Arquitectura de Infraestructura,372.576
Arquitectura de Redes / Telecomunicaciones,340.392
Auditor Interno Informático,339.846
Auxiliar de Informático,105.281
Community Manager,157.104
Consultor BI/IA,427.672
Consultor Informático,403.670
Consultor Infraestructura,373.667
Consultor Seguridad de la Información,427.672
Consultoría Comercio Electrónico,327.300
Dibujante de articulación PC,146.194
Diseñador de Usabilidad (UX Usab Experience),277.659
Diseñador Gráfico Junior,172.378
Diseñador Gráfico Senior,244.929
Diseñador Industrial,259.112
Diseñador Multimedia/ Transmedia,261.294
Diseño de Páginas Web,230.746
Especialista en Comercio Electrónico,499.678
Game Designer,318.026
Gerente de Sistemas PYMES,622.415
Gestor de Configuración Profesional,223.109
Ingenieros,412.398
Instructor Informático,165.286
Investigacion y Desarrollo,157.104
Jefe de Aplicaciones/Desarrollo,493.677
Jefe de Seguridad Informática,455.492
Jefe de soporte/ operador,399.306
Jefe de Tecnologia/Infraestructura,470.766
Lider/Jefe de Proyectos,400.397
Mesa de Ayuda/Agent Call-Contact Center,124.919
Perito Informático,467.493
Profesor Informático,208.926
Programador .net/java Junior,226.928
Programador .net/java Senior,355.120
Programador Ambientes propietario/Windows/Oracle,315.299
PrOgramador Ambientes Windows Unix/Linux,344.210
Programador de páginas Web,259.112
Programador de PLC/HM/SCADA,304.934
Programador de Software Embebido,264.567
Programador IA,404.215
Programador juegos/Game Developer,357.302
Programador Moviles/Mobile Developer,334.391
Soporte Técnico,205.108
Soporte User/ Operador/ Data Entry,138.557
Técnico en Hardware,137.466
Tester,296.206
Emp_Bancario,226.385
Domestica8hs,67.324
Domestica7hs,58.908
Domestica06hs,50.493
Domestica05hs,42.077
Domestica4hs,33.662